series_id,date,cancelled,start,end,dj,band,music,price,note,description
chicago-live-weds,2026-06-03,,,,,Double Trouble,,,,
chicago-live-weds,2026-06-10,,,,,Tommy Löbel Swing Band,,,,
chicago-live-weds,2026-06-17,,,,The Hot Shots,,dj,,,
zinkens-rhythm-club,2026-06-04,,,,"Frida ""Night Train"" H. G.",,,,,
zinkens-rhythm-club,2026-06-11,,,,JC & Johan,,,,,
chicago-live-saturdays,2026-10-03,yes,,,,,,,,
chicago-live-saturdays,2026-10-10,yes,,,,,,,,
chicago-live-saturdays,2026-10-17,yes,,,,,,,,
chicago-live-saturdays,2026-10-24,yes,,,,,,,,
chicago-live-saturdays,2026-11-07,yes,,,,,,,,
chicago-live-saturdays,2026-11-14,yes,,,,,,,,
chicago-live-saturdays,2026-11-21,yes,,,,,,,,
chicago-live-saturdays,2026-12-05,yes,,,,,,,,
chicago-live-saturdays,2026-12-12,yes,,,,,,,,
chicago-live-saturdays,2026-12-19,yes,,,,,,,,
