id,name,address,neighborhood,lat,lng,maps_url,floor_type
chicago,Chicago Swing Dance Studio,Hornsgatan 75,Söder,,,,studio
sprallen,Sprallen,Hammarby Slussväg 15,Skanstull,,,,outdoor
norrport,Norrport,Roslagsgatan 38,Vasastan,,,,bar
sss,Swedish Swing Society,Odengatan 89,Vasastan,,,,studio
augustas,Augustas Folksalong,Öfvre Källarbyn,,,,,hall
scala,Scalateatern,Wallingatan 32-34,Norrmalm,,,,hall
stadshuset,Stockholms stadshus,Hantverkargatan 1,Kungsholmen,,,,hall
vinterviken,Vintervikens Trädgård,Vinterviksvägen 30,Aspudden,,,,outdoor
arstaliden,Årstaliden,Ottsjövägen 35,Årsta,,,,outdoor
staclara,S:ta Clara Bierhaus,Lilla Nygatan 17,Gamla Stan,,,,bar
nomad,Nomad Swedish Food & Bar,Upplandsgatan 2A,Norrmalm,,,,bar
georgian-house,Georgian House,Drottningholmsvägen 322,Bromma,,,,bar
sankteriksj,S:t Eriks Jazzbar,Rörstrandsgatan 21,Vasastan,,,,bar
knowhere,Knowhere,Knowhere Stockholm,Knowhere,,,,
kulturhuset,Kulturhuset Stadsteatern,Sergels torg 3,Norrmalm,,,,hall
stora-skuggan,Stora Skuggans Dansbana,Stora Skuggans väg 14,Norra Djurgården,,,,outdoor
skeppsholmen,Skeppsholmen Vid Vattnet,"Skeppsholmen, brygga vid af Chapman",Skeppsholmen,,,,outdoor
ska-festplats,Skå Festplats,Färentunavägen 123,Ekerö,,,,
twang,Twang,Katarina Bangata 25,Söder,,,,bar
kallarbyn,Källarbyn,Stora Nygatan 31,Gamla Stan,,,,bar
